country_code,country_name,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
UGA,Uganda,1.21,10.47,25.3,68.23,71.12,69.74,68.21,66.05,66.46,60.42,44.59,39.37,38.68,42.62,44.48,41.16,36.55,45.42,67.65,67.61,67.0,63.52,65.94,65.94
UKR,Ukraine,0.0,1.79,37.6,67.86,71.94,58.17,45.31,57.67,61.96,60.16,61.1,59.24,58.07,55.72,59.63,64.18,58.33,58.63,52.74,49.99,49.96,56.56,58.9,59.9
URY,Uruguay,0.0,0.0,26.31,52.57,51.96,54.41,48.84,47.51,48.96,52.08,52.08,60.01,65.07,63.65,74.08,64.19,63.02,61.01,60.37,59.49,59.9,54.29,46.87,46.35
USA,United States,1.11,8.01,39.22,65.73,66.15,65.04,65.22,64.58,62.93,62.85,65.99,67.98,68.44,66.59,65.16,63.1,60.19,59.71,59.12,57.66,56.67,53.97,48.86,51.04
UZB,Uzbekistan,2.42,8.33,33.91,74.9,72.37,64.24,63.7,57.03,44.86,43.4,42.19,43.21,33.62,34.64,39.84,46.68,53.79,53.01,60.9,62.63,57.24,49.21,45.97,51.21
VEN,Venezuela,0.0,1.87,35.25,59.37,63.55,62.81,65.98,65.02,63.85,65.78,67.19,67.09,67.44,67.68,69.01,76.89,78.62,78.05,79.02,76.4,76.15,74.99,54.73,50.52
VIR,United States Virgin Islands,0.0,8.33,22.43,48.44,38.09,32.81,37.45,45.91,53.75,52.4,50.5,48.44,48.37,50.83,56.83,61.98,61.98,57.6,54.69,55.23,54.48,61.17,57.81,57.81
VNM,Vietnam,1.9,29.2,41.51,69.99,58.96,54.37,54.0,65.39,63.45,53.65,50.78,56.64,58.84,63.34,59.05,56.14,66.17,64.85,65.47,69.25,70.88,62.78,64.35,64.32
VUT,Vanuatu,0.0,0.0,15.52,52.03,51.4,49.79,34.86,26.54,22.92,22.92,27.97,28.35,23.86,20.83,20.83,20.83,20.83,24.46,25.59,25.83,25.64,24.56,27.08,27.08
YEM,Yemen,0.0,0.0,15.29,33.3,39.28,39.06,24.87,17.71,16.23,19.93,14.27,18.97,21.24,20.83,21.64,30.54,32.5,37.48,36.56,36.41,30.28,21.2,16.04,14.17
ZAF,South Africa,0.45,1.56,30.26,68.75,74.56,76.53,77.52,74.43,70.38,60.86,55.16,59.22,70.5,66.15,61.15,57.03,51.81,59.86,69.1,61.34,60.84,59.38,59.38,59.38
ZMB,Zambia,0.0,2.91,16.07,46.25,43.99,39.79,44.79,44.39,43.7,41.92,43.75,47.04,45.87,30.21,31.55,35.48,37.4,40.32,44.82,45.72,43.23,37.84,45.62,47.19
ZWE,Zimbabwe,0.71,4.69,16.99,60.7,67.63,56.04,56.59,59.9,57.1,50.6,51.59,51.51,62.3,66.44,46.18,49.76,48.68,50.14,52.69,60.42,53.75,48.17,48.6,51.56
